item_id,parent_id,category,item,manufacturer,part_number,quantity,quantity_unit,quantity_basis,variant,evidence_status,specification,cost_treatment,sources,open_details
R15,RING,enclosure,Transparent glossy inner resin liner,,Custom liner/encapsulation,1,formed liner,One liner CAD solid; produced through encapsulation,US10/11/12,specified;CAD,PO transparent glossy resin; factory transparent adhesive,Related to potting25RMB; not an additional quoted liner price,P1 Revision A8; M6,Resin chemistry; skin contact; cure; material quantity
R16,R01,charging,Ring contact carrier and conductive contacts,,CAD COMPOUND005/012/019,1,CAD group,One charge-contact group within each BCL CAD aggregate; pin count unknown,US10/11/12,CAD;specified,Magnetic contact charging; older PRD requests2 pins,Included in BCL CAD volume; commercial allocation unknown,D1 p7; M1-M2; H4,"Released contact/pin count, plating, travel and seal"
R17,RING,charging,Ring-side magnets if fitted,,Unspecified,,set,Magnetic interface does not establish ring magnet count,Current assembly pending,unspecified,No named magnet solid in inspected CAD,No individual price provided,D1 p7; M1,Count; geometry; grade; polarity; adhesive
R18,RING,acoustic,Acoustic membrane/gasket/port sealing,,Unspecified,,set,Acoustic port required; seal BOM not established,Current assembly pending,unspecified,Mic acoustic path through ceramic housing,No individual price provided,D1; M1,Membrane MPN; gasket; adhesion; acoustic loss; ingress results
R19,R15,process_material,Potting/adhesive input and application,,Unspecified,,mass/process,Material mass and dispense amount not listed,All quoted sizes,quoted,Potting/sealing same price across sizes; color matching excluded,B2 E11 25RMB process line; do not add R15 again,B2 E9:E11,Chemistry; application volume; cure; wastage
R20,R14,finish,Shell coating/color/marking process,,Unspecified,,process,Coverage in shell price unresolved,Grey matte reference,specified;unspecified,Antifingerprint per PO; prior CMF requests engraving,No separate quoted charge; coverage must be confirmed,P1 F10/B35; V1,Final finish and marking release
C01,KIT,assembly,Complete standard charging case,Supplier Fitwatch/Feiyang,Small cylindrical standard model,1,case,One quoted optional/companion case per configured kit,Updated cost sheet,quoted,Complete quoted assembly; exact correspondence to BCL701 reference unverified,B2 I11 15RMB; do not add child component costs,B2 I9:I11; P1 E10,Case revision and detailed BOM
C02,C01,PCBA,Charging-case reference module,Bravechip,BCL701MHV1.29.2,1,assembly,One reference module; supplied unit not verified,Reference module V2.0,specified,FR4 30.1x15mm,Included in whole case if this module is supplied,"D2 pp1,5,6",Supplied-case match; refdes; component BOM
C03,C01,battery,Case lithium battery,,MPN unspecified,1,cell,Typical reference design cell,Reference300mAh,specified,300mAh typical; cell dimensions/protection unknown,Included in whole case; no separate price,D2 p4,Manufacturer; chemistry details; charge limits; protection
C04,C01,enclosure,Plastic case housing/lid/insert,,Custom/common-model parts,,set,Plastic housing specified; individual piece count unknown,Requested dark-silver/gunmetal look,specified;quoted,Metallic appearance requested on plastic; process not selected,Case15RMB baseline; premium finish incremental cost unknown,B2 I10; P1 B40,Housing resin; mechanical BOM; coating approval
C05,C01,charging,Case mating contacts/springs,,Unspecified,,set,Magnetic contact interface only,Universal-size intent,specified;unspecified,Factory says case shared across sizes,Included in case; no separate price,D2; M4-M5,Pin count/travel; contact material; alignment
C06,C01,charging,Case magnets and retainers,,Unspecified,,set,Magnetic interface; count unknown,Current case pending,unspecified,Magnetic retention,Included in case if fitted,D2,Grade; polarity; counts; adhesive
C07,C02,connector,Case external power connector,,Unspecified,,connector,Not identified by current module datasheet,Current case pending,unspecified,Do not import older PRD Type-C into current fitted BOM,Included in case if fitted,D2; H4 historical,Actual connector and USB input rating
C08,C02,indicator,Case LEDs and optical parts,,Unspecified,,set,Case state notes refer to indicators; no fitted part count,Current case pending,unspecified,Low-case-battery blue indication mentioned in agenda,Included in case if fitted,T1; T2,MPNs; counts; current state table
C09,C02,electronics,Case charger/control/boost/passives,,Unspecified,,group,No refdes-level listing,Reference BCL701,unspecified,Module3.0-4.3V;30mA ring-charge row;200mA case-charge row,Included in reference PCBA and complete case,D2 p4,Charger/boost ICs; protection; charge settings
P01,KIT,packaging,Retail color box,Sudo-supplied,Custom artwork,1,box,Per-unit pack assumption; PO materials list no per-item quantity,Packaging v1,specified,Light beige outer wrap; nominal76x76mm lid and42mm wall per artwork,Excluded from quoted203RMB,P1 B38; PK1,Final dieline; print/stock; unit price
P02,KIT,packaging,Mailer packaging,Sudo-supplied,Custom mailer,,piece,Per-shipment quantity not specified,Packaging v1,specified,Sudo supplies mailer packaging,Excluded from quoted203RMB,P1 B38,Pack-out quantity; dimensions; material and price
P03,KIT,packaging,Instruction manual,Sudo-supplied,Custom accordion manual,1,manual,Per-unit pack assumption,Packaging v1,specified,65x65mm panels;390x65mm strip;5folds,Excluded from quoted203RMB,P1 B38; PK1,Final print approval and unit price
P04,KIT,packaging_process,Final packing and shrink wrap,Fitwatch/Feiyang,Unspecified,,process,"PO assigns factory process, not material usage",PO working record,specified,Factory handles final packaging and shrink wrap,Incremental price not established,P1 B38,Film spec; packing labor scope and price
H-CABLE,HISTORICAL,accessory,Type-C to two-pin charging cable,,Unspecified,1,cable,April PRD target only; excluded from current assumed packout,April29 PRD,historical,1m plastic/fabric Type-C to2pin ring charger,No current separate price,H4,Confirm if actual kit contains any cable and its configuration
